publication_id,title,type.category,type.name,year,detail,abstract
10001,A Conditional Kolmogorov Test,Journal,Econometrica,2000, 65: 1097-1128,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla gravida leo a tellus egestas nec fermentum leo adipiscing. Maecenas nec eros orci. Phasellus ut tincidunt lacus. Pellentesque tristique vehicula porta. Suspendisse potenti. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Duis cursus sapien a ante condimentum vehicula."
10002,A Stopping Rule for the Computation of Generalized Method of Moments Estimators,Journal,Econometrica,2000, 65: 913-931,"Donec viverra scelerisque porttitor. Vivamus quis nisi vitae dui tincidunt sollicitudin at sed orci. In hac habitasse platea dictumst. Aliquam erat volutpat. Nullam rhoncus, quam a consequat congue, erat dolor hendrerit metus, id aliquet leo nisl hendrerit est. Proin purus ante, adipiscing nec vestibulum sit amet, aliquam ac ipsum. Cras sapien ipsum, lobortis eget venenatis vitae, mollis sit amet odio. Curabitur odio augue, fermentum quis placerat in, tempus eu ipsum. Etiam sollicitudin orci vitae magna dictum ornare. In hac habitasse platea dictumst. Nulla purus odio, dapibus nec iaculis vitae, malesuada ac libero. Curabitur lectus ante, ullamcorper vitae tempor id, tempor nec dui."
10003,A Three-step Method for Choosing the Number of Bootstrap Repetitions,Journal,Econometrica,2000, 68: 23-51,"Donec eu lacus malesuada lectus placerat molestie at in mauris. Nulla sit amet rhoncus lorem. Nulla sit amet nisl sit amet lorem cursus tincidunt ac et risus. Nulla vel velit nec nulla placerat adipiscing. Donec id placerat tortor. Phasellus sit amet augue sed dolor bibendum faucibus. Praesent ullamcorper pulvinar purus aliquam ultricies. Donec ac tortor mattis sem sodales malesuada sed at tortor. Nulla vitae arcu risus, at tempor ipsum. Praesent arcu dolor, varius at elementum at, mattis tristique dolor. Duis adipiscing consectetur quam, in blandit neque commodo non. Aliquam erat volutpat. Lorem ipsum dolor sit amet, consectetur adipiscing elit."
10004,A Zero-One Result for the Least Squares Estimator,Journal,Econometric Theory,2000, 1: 85-96,"Vivamus tincidunt nulla nec elit sodales accumsan. Nulla id neque tellus, a imperdiet sapien. Proin ac elit urna, eget posuere elit. Ut nisl justo, scelerisque at imperdiet a, commodo sed leo. Pellentesque quis ligula id lacus malesuada fermentum. Nunc vitae felis diam, nec varius dui. Mauris vulputate pellentesque augue sit amet dictum. Integer at nibh id justo scelerisque blandit. Fusce vitae eros tempus neque accumsan pharetra. Fusce eu malesuada tellus. Nullam non sollicitudin lorem. Curabitur eget ante magna, id molestie metus. Proin euismod quam vel risus sagittis nec adipiscing magna fringilla. Etiam tincidunt hendrerit auctor. Aenean a eros augue, a sollicitudin justo. Vestibulum lacus turpis, ullamcorper eget tempor sed, ornare quis augue."
10005,Asymptotic Results for Generalized Wald Tests,Journal,Econometric Theory,2000, 3: 348-358,"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Donec varius commodo ornare. Nunc tortor ipsum, sollicitudin non mollis eget, laoreet at nisl. Aliquam erat volutpat. Fusce lobortis, justo eget dignissim accumsan, ligula nisi fringilla erat, vel interdum felis dui sit amet ligula. Phasellus at nunc velit. Pellentesque a lorem pulvinar nisl ultricies aliquet eu eget nisl. Suspendisse metus est, vulputate a bibendum eget, blandit eu felis. Curabitur malesuada volutpat facilisis. Donec pretium feugiat tellus ac porta."
10006,Consistent Moment Selection Procedures for Generalized Method of Moments Estimation,Journal,Econometrica,2000, 67: 543-564,"Aliquam in eleifend velit. Proin enim magna, bibendum vulputate malesuada in, tincidunt pharetra est. Nullam volutpat posuere sollicitudin. Donec libero sem, cursus sed consectetur et, hendrerit non turpis. Sed nunc ligula, adipiscing vitae ullamcorper at, iaculis eu sapien. Donec mollis justo non augue lacinia at luctus eros facilisis. Praesent ullamcorper velit nec odio sollicitudin tempor. Duis convallis magna ac arcu venenatis eu suscipit urna elementum. Vivamus volutpat diam a purus faucibus dictum. Proin a tortor magna. Sed at erat in turpis tincidunt congue ac vitae metus. Maecenas tincidunt purus at sem tempus vel ultrices metus tincidunt. Integer sit amet hendrerit quam. Cras luctus, ante eu tincidunt mattis, dolor purus lacinia magna, sed eleifend lorem mauris eu magna. Maecenas in magna sapien. Maecenas accumsan sollicitudin nibh, sit amet bibendum orci aliquam quis."
10007,Estimation When a Parameter Is on a Boundary,Journal,Econometrica,2000, 67: 1341-1383,"Suspendisse nec molestie turpis. Aenean ac erat libero. Quisque hendrerit arcu vitae est fermentum eget ornare quam pharetra. Donec sodales tellus quis diam interdum et eleifend libero mollis. Nullam vel metus vitae enim interdum tincidunt. Integer vel dui vitae leo porta porta. Aenean venenatis faucibus dolor, eget bibendum est iaculis sed. Nunc elementum erat vitae nisi bibendum iaculis. Praesent tempor lectus et nisi condimentum a ornare velit sagittis. Vestibulum pulvinar dictum est quis hendrerit. Fusce metus lorem, facilisis ut pellentesque non, tincidunt quis ante. Suspendisse quis iaculis mauris. Fusce sit amet mi ullamcorper purus tincidunt scelerisque quis nec neque. Nulla tristique arcu quis velit ornare fermentum. Cras sollicitudin ultricies sem ut ultrices. Proin non sapien odio, non tincidunt erat."
10008,Inconsistency of the Bootstrap When a Parameter Is on the Boundary of the Parameter Space,Journal,Econometrica,2000, 68: 399-405,"Phasellus magna tellus, volutpat sed tincidunt non, pharetra nec tortor. Sed sit amet augue tristique massa aliquet pharetra ac ut est. Curabitur quis tortor pellentesque justo consectetur euismod. Duis malesuada nisl ac odio mollis egestas. Nam eu ante leo. Duis eu mi arcu, quis ultricies magna. Nunc elementum risus et eros fermentum fermentum. Phasellus eros felis, mollis in rutrum a, consequat quis elit. Quisque ullamcorper, arcu et viverra posuere, nisi nisi tempus dolor, id interdum eros lectus eget massa. Pellentesque vulputate mi ut magna ultricies iaculis. In hac habitasse platea dictumst."
10009,Least Squares Regression with Integrated or Dynamic Regressors Under Weak Error Assumptions,Journal,Econometric Theory,2000, 3: 98–116,"Pellentesque id sapien non lorem ultrices aliquet. Aenean eleifend dignissim sollicitudin. Nulla egestas, dolor vitae pellentesque condimentum, magna enim aliquet ipsum, id molestie massa est nec ligula. Praesent quis augue mi, vitae scelerisque nisi. Sed in tortor ac justo hendrerit tempor. Phasellus id nisi sed nunc commodo convallis. Mauris nec turpis urna. Nunc in massa velit, posuere tempor magna. Curabitur varius dignissim sem, sit amet placerat dolor lobortis id. Mauris vitae nisi ut lorem ultricies tincidunt at ut ipsum. Curabitur suscipit eros eget diam cursus sed laoreet massa ultrices. Quisque in nulla felis."
10010,Optimal Tests When a Nuisance Parameter Is Present Only Under the Alternative,Journal,Econometrica,2000, 62: 1383-1414,"Duis nec purus vel purus tincidunt porttitor. Suspendisse sollicitudin viverra neque tempus interdum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse cursus, enim viverra aliquam consequat, nisl nisi molestie tellus, eu eleifend ante dolor at nibh. Fusce non feugiat arcu. Sed ac mi augue. Pellentesque vehicula lectus nec neque vulputate cursus. Proin vitae mauris urna. Phasellus vulputate volutpat ante, eget cursus ipsum porta ut. Phasellus eget tellus lorem. Sed pulvinar velit ut leo imperdiet posuere."
